,Step,Step Activity,Day,Responsibility,page
5,5.2,Cancellation Instructions Local Standing Order (Simple),,,8
6,"5
.2.1","For cancellation of simple transfer from one account to another: 
i. 
Login as a Maker: Country > eBBS > Accounts > Instruction >Instructions Master 
Setup 1 tab screen",1,"GSSC 
Account 
Services 
(Maker)",8
2,6.1,Set-up/Amendments of Sweep instructions,,,10
3,6.1.1,"Sweeps  are funds transfer  between  accounts  alternatively to  cover  shortages  and excesses: 
a.
Receive instructions to setup standing order via Filenet/eOps and/or 
b.
Log into  Online  Banking  back  office  queue  and retrieve standing  order instructions 
c. 
Follow the detailed guide on set-up/modifying sweep instructions:  Setup/ Modify 
Sweep Instructions",1,"GSSC 
Account 
Services 
(Maker)",10
4,6.1.2,"i. 
Login  as  a  Checker:  Country  >  eBBS  >  Accounts  >  Sweeps  >Master  tab 
screen 
ii. 
Click Authorize button. The Sweep Number field will be enabled. 
iii. 
Enter  Sweep  number.  Master  tab  screen  will  be  displayed  with  data  related  to 
the Sweep Number 
iv. 
Click Detail tab to review inputs. 
v.
Click OK to authorize or Reject to terminate the transaction",1,"GSSC 
Account 
Services 
(Checker)",10
5,6.2,Cancellation of Sweep Instructions,,,10
6,6.2.1,"i. 
Login as a Checker: Country > eBBS > Accounts > Sweeps >Master tab screen 
ii. 
Click Delete button. The Sweep Number field will be enabled. 
iii. 
Enter  Sweep  number.  Master  tab  screen  will  be  displayed  with  data  related  to 
the Sweep Number 
iv. 
Check the data at the following fields: 
• 
End Date. 
• 
Setup Charge Code 
• 
Setup Charge Currency 
• 
Setup Charge Account No. 
• 
Charge Collected 
• 
Setup Charge Amount Check the data fields to confirm transaction details 
v. 
Click Detail tab. The Detail tab screen will be displayed with data related to the",1,"GSSC 
Account 
Services 
(Maker)",10
2,7,Processing Foreign Standing Order,,,11
3,7.1,Set-up or modifications of Foreign Standing Orders,,,11
4,7.1.1,"Receive instructions to setup standing order via Filenet/eOps/Online Banking. 
(a) For set-up, enter the following in eBBS, follow the detailed guide: Setup of Foreign 
Standing Order  
(b) To amendments Foreign Standing Order; 
i. 
Login as Maker: Country > eOPAL > StandingOrder > Process to display SO tab 
screen with blank fields. 
ii. 
Click Edit button. The list of Standing Orders which have not sent for settlement 
will be displayed for edit. 
iii. 
Tick List of All SO. Then click Filter button. The list of all Standing Orders 
(including those sent for settlement / sent to checker’s queue) will be displayed 
ready for edit. 
iv.  With reference to the customer code, select the Standing Order transaction to be 
Cancelled or skipped. The Details tab will be displayed with details of the 
customer’s SO selected. 
v. 
Modify details as per the request 
Click OK button to send for authorization, or Cancel to terminate the transaction",1,"GSSC 
Account 
Services 
(Maker)",11
5,7.1.2,"Prior to approval ensure correctness of entered data against customer request.
 Login as a Checker: Click Country  eOPAL  StandingOrder  Process  
Authorise 
 On the SO screen, Double click on the selected standing order transaction. 
 Review the input values against instruction provided 
Click Charges tab and, then click OK button to authorize or Reject button to cancel 
the transaction. Authorization or rejection pop-up will be displayed",1,"GSSC 
Account 
Services 
(Checker)",11
2,7.2.1,"Until when the processing of Foreign Standing Orders is fully automated, both the CMO 
and Account Services teams will be involved in facilitating the payment execution.  
On execution date of Standing Order, an MT 103/202 will be automatically generated and 
will fall in the eOpal Standing Order Authorisation queue  
a.  Generate a report of all SOs to be executed for the day. 
b.  Forward the report to Account Services team for review and approval",,"Daily   CMO  (Maker/ 
Checker)",12
3,7.2.2,"a.  Receive report of SOs executed for the day. 
b.  Review the records Obtain approval from authorised authority as per DOA on the 
report. 
c.  Send the report to GSSC CMO to facilitate authorisation and release of message.",Daily  GSSC,"Account 
Services",12
4,7.2.3,"a.  Receive report with instructions and approval to authorise/release or reject SO.  
b.  Verify correct format of the SO that is in the authoriser’s queue.  
c. 
If  a  duplicate  execution  alert  is  displayed,  refer  the  SO  to  the  Account  Services 
team for their confirmation and approval before authorizing.  
d.  Release and send MT 202/103 message: 
 Login as a Checker: Click Country  eOPAL  StandingOrder  Process  
Authorise 
 On the SO screen, Double click on the selected standing order transaction. 
 Review the input values against instruction provided 
 Click on the Calculate button to pick the current exchange rate 
 Click Charges tab and, then click OK button to authorize or Reject button to 
cancel the transaction. Authorization or rejection pop-up will be displayed 
e.  File the Standing Order disposition instruction and related documents.",Daily  CMO,(Checker),12
5,7.3,Skipping or Cancellation of Foreign Standing Order,,,12
6,7.3.1,"Foreign Standing Order can be closed by selecting the Close option. Execution for the same can be skipped for one or more times using the Skip option. 
 
i. 
Login as Maker: Country > eOPAL > StandingOrder > Process to display SO tab 
screen with blank fields. 
ii. 
Click Edit button. The list of Standing Orders which have not sent for settlement 
will be displayed for edit.",1,"GSSC 
Account 
Services 
(Maker)",12
2,8,Document Archival,,,13
3,8.1,Receipt and archival of hard and soft copy customer documentation,Daily  ADU,,13
4,END OF PROCESS,,,,13
